name,description,category,badge,featured,github_url,website,tags,readme_url
Azure MCP Server,All Azure MCP tools in a single server. The Azure MCP Server implements the MCP specification to create a seamless connection between AI agents and Azure services. Azure MCP Server can be used alone or with the GitHub Copilot for Azure extension in VS Code.,Unknown,official,no,https://github.com/microsoft/mcp,/,,https://github.com/microsoft/mcp/blob/main/servers/Azure.Mcp.Server/README.md
B2Proxy,"1GB Free Trial, World's Leading Proxy Service Platform, Efficient Data Collection",Unknown,official,no,,/,,
Bankless Onchain,"Query Onchain data, like ERC20 tokens, transaction history, smart contract state.",Unknown,official,no,https://github.com/bankless/onchain-mcp,/,,
Baserow,Read and write access to your Baserow tables.,Unknown,official,no,https://github.com/baserow/baserow-mcp,/,,
Bitly MCP Server,"Turn your AI assistant into a digital marketing hub that creates, organizes, and analyzes links and QR Codes on demand.",Unknown,official,no,,/,,
Bitnovo Pay,"MCP server for Bitnovo Pay integration with AI agents. Provides cryptocurrency payment capabilities through Bitnovo Pay API. Features include payment creation, status checking, QR code generation, and webhook management with support for multiple tunnel providers (ngrok, zrok, manual).",Unknown,official,no,https://github.com/bitnovo/mcp-bitnovo-pay,/,,
Bitrix24 MCP-DEV,"The MCP server for Bitrix24 provides AI assistants with structured access to the Bitrix24 API. It delivers up-to-date method descriptions, parameters, and valid values, allowing assistants to work with precise data instead of guesswork. This reduces code errors and accelerates Bitrix24 integration development.",Unknown,official,no,https://github.com/bitrix24/b24restdocs/blob/main/sdk/mcp.md,/,,
Blueprint MCP,Browser automation via MCP for Chrome  and Firefox,Unknown,official,no,https://github.com/railsblueprint/blueprint-mcp,/,,
Box,Interact with the Intelligent Content Management platform through Box AI.,Unknown,official,no,https://github.com/box-community/mcp-server-box,/,,
Bright Data,"Discover, extract, and interact with the web - one interface powering automated access across the public internet.",Unknown,sponsor,no,,https://github.com/brightdata/brightdata-mcp,,
Browserbase,"Automate browser interactions in the cloud (e.g. web navigation, data extraction, form filling, and more)",Unknown,official,no,https://github.com/browserbase/mcp-server-browserbase,/,,
BrowserStack,"Bring the full power of BrowserStack’s Test Platform to your AI tools, making testing faster and easier for every developer and tester on your team.",Unknown,official,no,https://github.com/browserstack/mcp-server,/,,
Bucket,"Flag features, manage company data, and control feature access using Bucket.",Unknown,official,no,https://github.com/bucketco/bucket-javascript-sdk/tree/main/packages/cli#model-context-protocol,/,,
Buildable,"Official MCP server for Buildable AI-powered development platform. Enables AI assistants to manage tasks, track progress, get project context, and collaborate with humans on software projects.",Unknown,official,no,https://github.com/chunkydotdev/bldbl-mcp,/,,
Buildkite,Manage Buildkite pipelines and builds.,Unknown,official,no,https://github.com/buildkite/buildkite-mcp-server,/,,
Campertunity,"Search campgrounds around the world on campertunity, check availability, and provide booking links.",Unknown,official,no,https://github.com/campertunity/mcp-server,/,,
Candice AI - MCP,Automated document processing and extraction,Unknown,official,no,,/,,
Chargebee,MCP Server that connects AI agents to Chargebee platform.,Unknown,official,no,https://github.com/chargebee/agentkit/tree/main/modelcontextprotocol,/,,
Chart,A Model Context Protocol server for generating visual charts using AntV.,Unknown,official,no,https://github.com/antvis/mcp-server-chart,/,,
Chroma,"Embeddings, vector search, document storage, and full-text search with the open-source AI application database",Unknown,official,no,https://github.com/chroma-core/chroma-mcp,/,,
Chrome DevTools MCP,"chrome-devtools-mcp lets your coding agent (such as Gemini, Claude, Cursor or Copilot) control and inspect a live Chrome browser",Unknown,official,no,https://github.com/ChromeDevTools/chrome-devtools-mcp,/,,
Chronulus AI,Predict anything with Chronulus AI forecasting and prediction agents.,Unknown,official,no,https://github.com/ChronulusAI/chronulus-mcp,/,,
